member_code,first_name,last_name,nickname,email,phone_number,birthdate,total_point,province,branch1,branch2
OKJ021, Panita, Santisakul, Meya, panita.p@gmail.com,08-2426-6412, 1986-10-25,15,Bangkok,18,9
OKJ022, Nittha, Singkow, New, nittha.n@gmail.com,08-5694-3831, 1987-10-22,12,Bangkok,12,13
OKJ023, Suwichada, Kamiam, Yui, suwichada.s@gmail.com,06-5902-1738, 1985-06-09,87,Bangkok,10,5
OKJ024, Pongkiat, Makmee, Chang, pongkiat.p@gmail.com,08-7928-7524, 1988-03-15,91,Bangkok,6,3
OKJ025, Pongsakorn, Srisuk, Aek, pongsakorn.p@gmail.com,08-2999-1069, 1980-02-22,50,Chiangmai,2,1
OKJ026, Tiya, Wongwarittara, Cha-em, tiya.t@gmail.com,06-5623-6606, 1985-04-23,53,Chiangmai,1,1
OKJ027, Tanapoom, Intaraprasert, Silp, tanapoom.t@gmail.com,08-7535-7476, 2005-12-31,109,Bangkok,12,17
OKJ028, Natwiroj, Mankongprasit, Justin, natwiroj.n@gmail.com,06-4773-0513, 1983-03-02,85,Chiangmai,1,2
OKJ029, Nitithorn, Jongjamras, Boom, nitithorn.n@gmail.com,06-3029-9435, 1993-09-24,14,Bangkok,18,21
OKJ030, Boonpoj, Pongpaisan, Art, boonpoj.b@gmail.com,08-8676-9478, 1994-05-20,33,Bangkok,21,19
OKJ031, Bodin, Kiatbawonsakul, Pond, bodin.b@gmail.com,08-2530-0966, 1993-12-31,65,Bangkok,3,15
OKJ032, Jaree, Pichitchai, Pojai, jaree.j@gmail.com,08-3176-5183, 1995-12-10,52,Bangkok,19,5
OKJ033, Weerachai, Phupanitch, Son, weerachai.w@gmail.com,08-2122-1618, 1985-02-07,33,Bangkok,5,9
OKJ034, Chayon, Mongkonjit, Ken, chayon.c@gmail.com,08-2334-3242, 1991-12-25,59,Bangkok,9,15
OKJ035, Anantaya, Chaisongkram, Ploy, anantaya.a@gmail.com,08-3774-5946, 1981-12-31,13,Bangkok,9,9
OKJ036, Tanachan, undefined, Tang, tanachan.t@gmail.com,08-8140-4412, 1989-06-19,67,Bangkok,4,5
OKJ037, Nattawut, Sawadiwong, Po, nattawut.n@gmail.com,06-1516-1821, 1989-02-05,48,Chiangmai,1,1
OKJ038, Kwanjira, Jantarapipat, Pie, kwanjira.k@gmail.com,06-6156-3730, 2001-11-04,96,Bangkok,9,11
OKJ039, Pathomporn, Wilairat, Mai, pathomporn.p@gmail.com,08-6114-7063, 2001-12-22,11,Bangkok,19,20
OKJ040, Darin, Rattanasetha, Da, darin.d@gmail.com,06-5986-3929, 2005-02-02,21,Bangkok,15,4
OKJ041, Thaned, Chokchai, Por, thaned.t@gmail.com,08-7624-7761, 1986-11-30,66,Chonburi,25,24
OKJ042, Parima, Pongpilai, Pla, parima.p@gmail.com,08-3578-8657, 1988-05-11,19,Bangkok,14,6
OKJ043, Thanakorn, Siriwanich, Dis, thanakorn.t@gmail.com,06-2950-3854, 1993-06-17,30,Bangkok,14,12
OKJ044, Pakin, Siriwongsakulchai, Tom, pakin.p@gmail.com,06-9036-7670, 1993-11-16,95,Bangkok,14,7
OKJ045, Keerati, Kanjanaarkom, Chai, keerati.k@gmail.com,08-1908-7808, 2003-01-11,40,Chiangmai,2,2
OKJ046, Palika, Jantarasomboon, New, palika.p@gmail.com,08-2314-0781, 2004-12-27,115,Bangkok,14,19
OKJ047, Nattarat, Malaikaew, Tone, nattarat.n@gmail.com,08-9830-2581, 1983-06-02,116,Chiangmai,1,2
OKJ048, Harutai, Sukseree, Nana, harutai.h@gmail.com,06-9239-5590, 2001-12-01,53,Bangkok,17,16
OKJ049, Chanisa, Satapirom, Praew, chanisa.c@gmail.com,08-9509-1411, 1993-01-02,110,Bangkok,4,17
OKJ050, Kulanan, Koomwong, Jub, kulanan.k@gmail.com,06-1121-9317, 1980-12-23,86,Bangkok,5,18
OKJ051, Sirapob, Pititat, Pab, sirapob.s@gmail.com,08-3844-9158, 1993-06-04,83,Bangkok,17,15
OKJ052, Pattanapon, Kommak, Nam, pattanapon.p@gmail.com,08-6116-7943, 2003-06-17,43,Bangkok,6,9
OKJ053, Bawontat, Surasakudom, Tan, bawontat.b@gmail.com,06-8495-9863, 1985-06-21,31,Bangkok,10,7
OKJ054, Nawaporn, Sangsawang, Nami, nawaporn.n@gmail.com,08-8058-5487, 1996-04-13,38,Bangkok,8,4
OKJ055, Kanya, Kajornkiatsakul, Nampueng, kanya.k@gmail.com,08-8384-8511, 2005-09-09,16,Bangkok,18,18
OKJ056, Thitapa, Pongpattana, Piano, thitapa.t@gmail.com,08-5761-4408, 1994-02-06,111,Bangkok,4,5
OKJ057, Boriwan, Patanakosol, Po, boriwan.b@gmail.com,06-1329-1362, 1995-08-25,70,Bangkok,9,19
OKJ058, Tanat, Pinkaew, Ar, tanat.t@gmail.com,06-3075-3083, 2003-07-24,114,Bangkok,11,13
OKJ059, Petcharat, Suwanwechatada, Queue, petcharat.p@gmail.com,06-6959-8585, 2004-10-01,34,Bangkok,7,6
OKJ060, Pongsapak, Suwanpiti, Mai, pongsapak.p@gmail.com,06-4870-6419, 2005-03-02,71,Bangkok,17,18
OKJ061, Nataporn, Wongsawad, Nitch, nataporn.n@gmail.com,06-3437-2338, 2000-02-19,89,Bangkok,9,11
OKJ062, Surayon, Roengtip, Taipei, surayon.s@gmail.com,08-1224-1651, 1984-10-04,101,Bangkok,8,21
OKJ063, Nat, Chaichana, Pleng, nat.n@gmail.com,06-6206-6322, 1985-05-18,8,Bangkok,5,3
OKJ064, Pat, Sukkasem, Kluen, pat.p@gmail.com,06-9102-3877, 1999-02-16,88,Chiangmai,2,1
OKJ065, Setha, Sirikoson, Toto, setha.s@gmail.com,08-3011-4071, 2002-12-04,23,Bangkok,15,18
OKJ066, Pattanapong, Nualjan, Chon, pattanapong.p@gmail.com,06-8769-5757, 1992-03-20,51,Bangkok,18,18
OKJ067, Warit, Kittipattra, Nai, warit.w@gmail.com,08-5043-7279, 1992-08-14,92,Bangkok,7,9
OKJ068, Dolawa, Roongtip, Ren, dolawa.d@gmail.com,08-8515-7008, 1999-10-23,38,Bangkok,9,18
OKJ069, Merisa, Jarastham, Kanompang, merisa.m@gmail.com,06-8478-2043, 2001-08-03,19,Bangkok,19,17
OKJ070, Boripot, Sangtawan, Tew, boripot.b@gmail.com,06-5962-8727, 1992-04-22,77,Bangkok,21,6
OKJ071, Surayuth, Kwankaew, Chang, surayuth.s@gmail.com,06-6347-1024, 2000-12-09,91,Bangkok,10,21
OKJ072, Suchavadi, Kasemsub, Kanompang, suchavadi.s@gmail.com,08-2753-1007, 1999-10-06,3,Bangkok,17,5
OKJ073, Korn, Watcharasopon, Tone, korn.k@gmail.com,08-1782-5731, 1989-09-08,50,Bangkok,3,17
OKJ074, Chutimon, Weerakittana, Opal, chutimon.c@gmail.com,06-7424-1352, 1997-08-18,6,Chiangmai,2,1
OKJ075, Praepilai, Suwannachoti, Dream, praepilai.p@gmail.com,08-3797-7721, 2001-07-12,79,Bangkok,10,21
OKJ076, Tachapol, Wararak, Toh, tachapol.t@gmail.com,06-9365-4737, 1989-04-20,109,Chiangmai,1,1
OKJ077, Thammarat, Preechawong, Mint, thammarat.t@gmail.com,08-7564-1714, 2005-05-08,79,Chiangmai,1,2
OKJ078, Banyong, Tangtip, Bright, banyong.b@gmail.com,06-1527-3243, 1997-09-19,94,Bangkok,9,21
OKJ079, Chutima, Pasakul, Larn, chutima.c@gmail.com,06-8025-8017, 2005-06-10,15,Chonburi,23,23
OKJ080, Punyisa, Opaspat, Puinoon, punyisa.p@gmail.com,08-6277-4741, 1991-06-30,89,Bangkok,21,3
OKJ081, Nati, Suwannawong, Guitar, nati.n@gmail.com,06-8317-1066, 1987-11-10,93,Bangkok,16,10
OKJ082, Dolawa, Satanon, Lila, dolawa.d@gmail.com,06-4596-7512, 1986-01-19,17,Bangkok,21,22
OKJ083, Konchawan, Pitiwat, Nad, konchawan.k@gmail.com,08-3571-6597, 2001-08-27,99,Bangkok,10,8
OKJ084, Rachanok, Sirianan, Kaewta, rachanok.r@gmail.com,08-5952-3996, 1992-01-13,49,Bangkok,18,7
OKJ085, Nathayu, Rattanaprasert, Sky, nathayu.n@gmail.com,08-6849-3327, 1982-11-19,15,Bangkok,8,7
